usage_id,employee_id,week_number,is_active,feature_used,hours_saved,sessions_count
1,38,8,1,Document Summary,16.8,20
2,117,6,0,Report Generation,21.3,14
3,3,4,0,Data Lookup,19.3,14
4,173,9,1,Report Generation,8.5,10
5,336,5,1,Meeting Recap,41,13
6,263,9,0,Report Generation,40.3,2
7,266,11,0,Document Summary,44.6,15
8,405,4,1,Email Drafting,6.1,4
9,234,5,1,Email Drafting,45.2,0
10,25,5,0,Meeting Recap,37.1,7
11,422,6,1,Email Drafting,20.7,2
12,286,12,1,Meeting Recap,14.6,15
13,189,2,1,Report Generation,34,14
14,55,6,1,Report Generation,13.1,10
15,10,9,1,Email Drafting,36.3,16
16,93,6,0,Email Drafting,17,19
17,201,4,1,Report Generation,11.2,14
18,488,4,1,Report Generation,49.7,13
19,306,2,1,Meeting Recap,47,15
20,326,9,0,Document Summary,15.4,20
21,276,11,0,Email Drafting,6,12
22,96,10,0,Report Generation,10.4,12
23,361,6,1,Document Summary,45,7
24,135,12,1,Report Generation,45.8,14
25,355,10,0,Email Drafting,30.9,20
26,464,1,1,Document Summary,47.9,17
27,15,12,1,Data Lookup,11,9
28,385,3,0,Document Summary,19.8,2
29,124,10,0,Document Summary,42.7,14
30,330,11,0,Report Generation,44.2,10
31,99,11,0,Meeting Recap,19.4,20
32,237,6,1,Meeting Recap,42.1,9
33,36,5,1,Document Summary,14,19
34,310,1,1,Meeting Recap,31.5,6
35,415,12,0,Data Lookup,12.5,16
36,343,4,1,Data Lookup,38.7,6
37,225,9,1,Data Lookup,22.9,2
38,184,9,0,Report Generation,11.3,5
39,395,11,0,Report Generation,29.6,13
40,284,9,0,Email Drafting,33.7,16
41,373,3,1,Document Summary,10.6,2
42,258,2,0,Document Summary,9.3,16
43,291,3,1,Meeting Recap,20.8,0
44,331,2,1,Meeting Recap,41,16
45,246,10,0,Meeting Recap,21.1,3
46,67,1,1,Email Drafting,28.2,4
47,119,7,0,Meeting Recap,15.7,2
48,193,3,1,Document Summary,17.4,14
49,500,1,0,Data Lookup,37.5,13
50,114,9,0,Report Generation,49.4,5
51,339,1,1,Email Drafting,42.8,17
52,5,8,0,Data Lookup,25.8,15
53,185,12,0,Data Lookup,13,8
54,224,4,1,Email Drafting,40,11
55,251,3,1,Meeting Recap,7.6,3
56,493,2,0,Data Lookup,39,1
57,434,11,1,Report Generation,34,20
58,394,3,0,Report Generation,18,16
59,288,2,1,Report Generation,27.5,16
60,131,3,0,Email Drafting,13.4,14
61,221,6,1,Meeting Recap,18.4,8
62,183,5,1,Report Generation,6,11
63,482,4,0,Data Lookup,39.8,18
